SciKG PDF vocabulary v3 - GROUNDED + FILTERED (378 papers)
Derived from the raw vocabulary by OMITTING junk terms. Nothing is
altered: every surviving string still appears verbatim in a source PDF
at its recorded char_span. The raw file remains the evidence record.
Stopword list: vocab_stopwords.csv (extend it as needed).
Junk = stopword match, <2 chars, or numeric/punctuation only.

=== instrument (737 distinct) ===
  x1  Photon Technology International (PTI) fluorescence spectrometer
  x1  Picarro 2140-i Wavelength-Scanned Cavity Ring Down Spectrometer
  x1  Picarro G2101-i Isotopic CO2 cavity ring down spectrometer (CRDS)
  x1  Picarro Inc. L2130i liquid water cavity ring-down spectroscopy
  x1  POROS GoPure 50 D resin functionalized with dimethylaminopropyl groups (Thermo Fisher Scientific)
  x1  positive-ion APPI FT-ICR MS
  x1  Q Exactive HF
  x1  Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer
  x1  Q-Exactive HF BioPharma
  x1  Q-Exactive HF Orbitrap
  x1  QE-HF mass spectrometer
  x1  QP5050A EI quadrupole
  x1  QuAAtro39 continuous segmented flow analyzer
  x1  quadrupole trap
  x1  Quantachrome Autosorb iQ adsorption/chemisorption system
  x1  Qubit 2.0 fluorometer
  x1  Qubit 3 fluorometer
  x1  quenching column
  x1  Rigaku automatic instrument (Geigerflex)
  x1  Scanning electron microscopy (SEM)
  x1  Seal AQ2 (Seal Analytical)
